post,longitude,latitude
70900,-96.4911,15.7331
70987,-96.1469,15.7661
70987,-96.1249,15.7616
70987,-96.2234,15.7962
70987,-96.1359,15.7639
70988,-96.1033,15.7874
70988,-96.1003,15.7625
70988,-96.1421,15.7812
70988,-96.1522,15.7869
70988,-96.0664,15.8198
70988,-96.0556,15.7864
70988,-96.2234,15.7962
70905,-96.4597,15.7567
70905,-96.2869,15.9078
70905,-96.4639,15.7367
70905,-96.4603,15.7417
70905,-96.4128,15.7891
70905,-96.3586,15.8095
70905,-96.3241,15.8818
70905,-96.3692,15.802
70990,-96.0736,15.9482
70990,-96.175,15.9217
70990,-96.2291,15.9058
70990,-96.0705,16.0468
70963,-96.3828,15.8967
70963,-96.3792,15.8833
70963,-96.4178,15.9017
70963,-96.3678,15.8969
70963,-96.4279,15.9194
70963,-96.4181,15.9136
70963,-96.415,15.9272
70963,-96.3758,15.9019
70963,-96.4175,15.9242
70963,-96.4275,15.9131
70963,-96.4049,15.9071
70963,-96.4022,15.9253
70963,-96.395,15.9127
70963,-96.4092,15.8915
70963,-96.4153,15.8839
70963,-96.4808,15.8942
70963,-96.4275,15.9156
70963,-96.3769,15.8744
70963,-96.4264,15.8896
70963,-96.3993,15.9217
70963,-96.4097,15.8831
70963,-96.4289,15.9086
70963,-96.3744,15.8833
70963,-96.3725,15.9053
70963,-96.4281,15.9106
70963,-96.4058,15.924
70963,-96.3792,15.8894
70963,-96.4208,15.9117
70963,-96.3839,15.9219
70963,-96.4097,15.9244
70963,-96.4092,15.9097
70963,-96.3755,15.9104
70963,-96.3744,15.8972
70963,-96.4236,15.9044
70964,-96.4303,15.8978
70964,-96.4908,15.9142
70964,-96.4831,15.8918
70964,-96.4717,15.9464
70964,-96.4522,15.923
70964,-96.4206,15.9239
70964,-96.4542,15.8975
70964,-96.4225,15.9286
70964,-96.4869,15.8999
70964,-96.4514,15.9317
70964,-96.4808,15.8942
70964,-96.462,15.9477
70964,-96.4447,15.9153
70964,-96.4739,15.9106
70964,-96.4558,15.9272
70964,-96.4567,15.9018
70964,-96.4753,15.8978
70964,-96.4532,15.9156
70964,-96.4625,15.9147
70964,-96.4279,15.9194
70964,-96.4869,15.9175
70964,-96.4728,15.9344
70964,-96.4272,15.9306
70964,-96.4186,15.9175
70964,-96.4689,15.9383
70964,-96.4544,15.9014
70964,-96.4456,15.9064
70964,-96.4531,15.9306
70964,-96.4657,15.9404
70964,-96.4189,15.9214
70964,-96.4608,15.9225
70964,-96.4692,15.9278
70964,-96.4828,15.9286
70964,-96.4436,15.9361
70964,-96.4236,15.9239
70964,-96.4689,15.93
70994,-96.0207,15.9686
70944,-96.77,15.7994
70944,-96.7717,15.7925
70944,-96.8259,15.7444
70944,-96.7767,15.7603
70944,-96.8119,15.7442
70944,-96.7229,15.7933
70944,-96.7375,15.7469
70944,-96.724,15.8148
70944,-96.7378,15.7319
70944,-96.7883,15.7406
70944,-96.7406,15.8117
70944,-96.8165,15.7888
70944,-96.7517,15.7761
70944,-96.7624,15.78
70944,-96.8456,15.7664
70944,-96.7814,15.7383
70944,-96.7367,15.7817
70944,-96.6956,15.8181
70944,-96.7625,15.7503
70944,-96.7463,15.7998
70944,-96.7194,15.7961
70944,-96.7547,15.7675
70944,-96.7372,15.7933
70944,-96.75,15.8158
70944,-96.7856,15.7906
70944,-96.7545,15.8061
70944,-96.7783,15.8106
70944,-96.6818,15.7729
70938,-97.0464,15.8283
70938,-96.9696,15.8305
70938,-96.9828,15.8851
70938,-97.0288,15.8255
70938,-96.9719,15.8117
70938,-97.0041,15.8551
70938,-96.9831,15.8842
70938,-97.0173,15.8624
70938,-96.9931,15.8736
70938,-97.0278,15.8544
70938,-96.9975,15.8794
70938,-96.96,15.8647
70938,-97.0217,15.8222
70938,-97.0094,15.8581
70938,-97.0494,15.8792
70938,-97.0039,15.8667
70938,-97.0261,15.885
70938,-96.9642,15.8522
70938,-97.0228,15.8947
70938,-97.0,15.8653
70938,-97.0294,15.8653
70938,-96.9483,15.7956
70938,-96.9917,15.8217
70938,-97.0485,15.8622
70934,-96.9222,15.862
70934,-96.9955,15.8741
70934,-97.0564,15.8689
70934,-96.9642,15.8522
70934,-97.0419,15.8369
70934,-96.8667,15.95
70934,-97.0485,15.8622
71989,-97.0773,15.8704
71985,-97.0696,15.9496
71985,-97.0764,15.8944
71985,-97.0128,15.932
71985,-97.1144,15.92
71985,-97.0672,15.8772
71985,-97.0806,15.8917
71985,-97.0603,15.8772
71985,-97.0831,15.8908
71997,-97.0696,15.9496
71997,-97.125,15.9268
71997,-97.0839,15.9003
71997,-97.0964,15.8814
71997,-97.0778,15.9186
71997,-97.1694,15.9394
71997,-97.114,15.8995
71997,-97.1447,15.9989
71997,-97.1008,15.8786
71997,-97.1573,15.9362
71997,-97.0831,15.8908
71997,-97.0828,15.9197
71997,-97.0855,15.9648
71997,-97.1667,15.9394
71997,-97.1863,15.9472
71997,-97.1258,15.9231
71997,-97.0806,15.8917
71997,-97.1111,15.8867
71997,-97.1725,15.94
71997,-97.1786,15.9458
71997,-97.1169,15.8925
71997,-97.1914,15.9511
71997,-97.1031,15.8769
71997,-97.1763,15.9425
71997,-97.1154,15.8861
71997,-97.1525,15.9281
71997,-97.0856,15.9917
71997,-97.1222,15.9876
71997,-97.0936,15.9647
71838,-93.8086,33.6299
71838,-97.3526,15.9537
71838,-97.391,15.9475
71838,-97.3043,15.9805
71814,-97.6879,15.9678
71814,-97.7827,15.9875
70762,-91.4577,30.5983
70762,-95.3791,16.0975
70762,-95.3931,16.0644
70790,-95.6757,15.9878
70680,-95.1712,16.1818
70680,-95.2196,16.1934
70680,-95.1849,16.1868
70680,-95.1576,16.1767
70690,-95.2196,16.1934
70690,-95.1871,16.1834
70613,-95.2133,16.2367
70613,-95.2192,16.2225
70613,-95.2163,16.2296
70613,-95.2196,16.1934
70702,-95.1894,16.2294
70702,-95.2196,16.1934
70702,-95.2158,16.2431
70760,-91.4421,30.7014
70760,-95.2217,16.2608
70760,-95.4167,16.3333
70760,-95.2164,16.3589
70760,-95.2074,16.3804
70760,-95.3239,16.245
70760,-95.2186,16.2658
70760,-95.1922,16.3922
70760,-95.3351,16.3502
70760,-95.2628,16.3161
70760,-95.2397,16.2925
70760,-95.3272,16.3132
70760,-95.2482,16.3267
70760,-95.3915,16.2219
70760,-95.2206,16.2544
70760,-95.4113,16.2937
70760,-95.2528,16.3289
70760,-95.2194,16.3589
70760,-95.2421,16.3354
70760,-95.2236,16.3517
70760,-95.2406,16.3796
70861,-96.5021,16.1708
70869,-96.5197,16.1953
71900,-97.295,16.2339
71900,-97.2933,16.3833
71900,-97.2466,16.2834
71900,-97.2692,16.2866
71900,-97.2962,16.1774
71900,-97.1867,16.2498
71900,-97.2793,16.3794
71900,-97.2916,16.2382
30189,-84.5717,34.1281
30189,-91.8807,16.3151
30189,-91.5303,16.4789
30189,-91.8831,16.3172
30189,-91.6641,16.2595
30189,-91.7403,16.3856
30189,-91.7857,16.3355
30189,-92.0688,16.3914
30189,-91.8197,16.2997
30189,-91.9188,16.3531
30189,-91.9083,16.2945
30189,-91.5967,16.3625
30189,-91.7993,16.3143
30189,-91.5706,16.3553
30189,-91.7769,16.3219
30189,-91.8256,16.3569
30189,-91.9372,16.3506
30189,-91.9269,16.5975
30189,-91.4733,16.1603
30189,-91.7419,16.2769
29954,-91.4032,16.4743
29954,-91.5961,16.9064
29954,-92.0767,16.9183
29954,-91.5593,16.6634
29954,-91.3457,16.4067
29954,-91.4861,16.7658
29954,-91.4483,16.5091
29935,-80.6844,32.3874
29935,-90.8835,16.8147
30107,-84.3758,34.3393
30107,-92.1412,16.2332
30107,-92.1116,16.2963
30107,-92.1242,16.3046
30107,-92.0978,16.2643
30107,-92.0647,16.2561
30107,-92.1099,16.2882
30107,-92.05,16.2667
30017,-83.9632,33.8901
30017,-92.1789,16.2969
30017,-92.1467,16.2732
30187,-84.8639,33.6634
30187,-91.7403,16.3856
30187,-91.9772,16.3211
30187,-91.9919,16.312
30187,-91.4469,16.3122
30187,-91.5464,16.2886
30187,-91.7406,16.3085
30105,-85.1843,34.4411
30105,-92.1834,16.2992
30105,-92.1914,16.3218
30105,-92.1993,16.3444
30100,-92.0777,16.3337
30100,-92.1046,16.1588
30100,-92.1015,16.3813
30224,-84.2734,33.2404
30224,-92.6285,16.3506
30224,-92.5922,16.3433
70180,-94.2036,16.3625
70180,-94.2154,16.2808
29410,-80.022,32.9185
29410,-92.474,16.5418
